sent_id,observation_id,common_name,text,SPECIES,BEHAVIOR,HABITAT,notes,annotator,confidence
191709309_0,191709309,Marsh Rabbit,"Class Mammalia; presence of fur Order: Lagomorpha; the elongated hind limbs, saltatory locomotion, and large ears indicate this order The rabbit was found on a warm, partly cloudy day at Sweetwater wetlands park in a bush mid way through the trail.",rabbit,found,park; trail,,,
211342217_0,211342217,Domestic Rabbit,"not sure if this counts as captive or wild; these (presumably escaped abandoned) bunnies seem to be doing fine in the neighborhood for several months now Domestic Rabbit (Oryctolagus cuniculus domesticus) observed at Derby Ln, Weston, FL, US.",Rabbit,observed,neighborhood,,,
199605497_0,199605497,Common Raccoon,"(Deceased) what the heck is this ?? my best guess is a coatí or an albino raccoon - but we were not able to see the face but you can see it s ear Common Raccoon (Procyon lotor) observed at Jonathan Dickinson State Park, Hobe Sound, FL, US.",Common Raccoon; raccoon; Procyon lotor,observed,Park,,,
222893779_0,222893779,Florida Manatee,"Many Florida Manatees spotted munching on sea grass in the Florida Bay side of the Flamingo Marina in Everglades National Park Florida Manatee (Trichechus manatus latirostris) observed at Everglades National Park, Monroe County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,spotted; observed,Everglades; Bay; Park,,,
146804960_3,146804960,Tri-coloured Bat,"Check out the Bat Spectrogram project here: More info about how to view spectrograms on Kaleidoscope (free software by Wilfelife Acoustics) here: Tri-coloured Bat (Perimyotis subflavus) observed at Everglades National Park, US-FL, US.",Bat,observed,Everglades; Park,,,
182952357_4,182952357,Florida Manatee,"It moved with strong tail paddles when travelling up and down the river, but while foraging used its front flippers to manoeuvre. reference - Florida Manatee (Trichechus manatus latirostris) observed at Volusia County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,observed; foraging,river,,,
189393695_3,189393695,Eastern Gray Squirrel,"Info: It is native to eastern North America, where it is the most prodigious and ecologically essential natural forest regenerator ( ) Eastern Gray Squirrel (Sciurus carolinensis) observed at Amelia Earhart Park, Hialeah, FL, US.",Sciurus carolinensis; Eastern Gray Squirrel,observed,forest; Park,,,
213148643_0,213148643,Virginia Opossum,"DOR Virginia opossum; pp254; good condition; 10:11; removed from road About a dozen dumped fish nearby Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia opossum; Virginia Opossum; Didelphis virginiana,observed,Park; road; Hammock,,,
247835084_0,247835084,Eastern Gray Squirrel,"5:07, Thursday 10 17 24, Mostly sunny with some clouds in the sky, Slight breeze, 72 degrees Fahrenheit Eastern Gray Squirrel (Sciurus carolinensis) observed at University of Central Florida Arboretum Trail, Orlando, FL, US.",Sciurus carolinensis; Eastern Gray Squirrel,observed,Trail,,,
184611904_0,184611904,Eastern Gray Squirrel,"Observed for the Home River BioBlitz 2023 Project for the Miami River s observations: Main project with all participating rivers: Eastern Gray Squirrel (Sciurus carolinensis) observed at Grapeland Heights, Miami, FL, USA.",Sciurus carolinensis; Eastern Gray Squirrel,Observed; observed,River,,,
