common_name,count
Eastern Gray Squirrel,8254
Common Raccoon,2796
White-tailed Deer,2606
Marsh Rabbit,2208
Mexican Long-nosed Armadillo,1551
Eastern Cottontail,1416
Florida Manatee,1279
West Indian Manatee,1165
Virginia Opossum,1122
Common Bottlenose Dolphin,830
Domestic Cat,729
North American River Otter,624
Wild Boar,475
Key Deer,413
Bobcat,357
Hispid Cotton Rat,345
Coyote,331
Eastern Fox Squirrel,290
American Black Bear,273
Tamanend's Bottlenose Dolphin,197
Southeastern Myotis,162
Eastern Mole,151
Black Rat,150
Sherman's Fox Squirrel,125
Domestic Horse,121
Eastern Black Bear,119
Gray Fox,118
Florida White-tailed Deer,114
Mexican Free-tailed Bat,112
Red Fox,109
Florida Raccoon,103
Rhesus Macaque,96
Southern Flying Squirrel,95
American Bison,89
Southeastern Pocket Gopher,73
Florida Marsh Rabbit,65
Florida Gray Squirrel,57
Cotton Mouse,55
Domestic Rabbit,49
American Beaver,48
Green Monkey,48
Eastern Woodrat,38
Evening Bat,36
Mountain Lion,35
Tri-coloured Bat,33
Big Cypress Fox Squirrel,32
North American Mountain Lion,32
Striped Skunk,29
Brown Rat,29
Southern Fox Squirrel,27
Alleghanian Spotted Skunk,25
Eastern Bobcat,24
Coypu,20
Domestic Cattle,19
Domestic Pig,18
Domestic Dog,17
Everglades Mink,15
Seminole Bat,13
House Mouse,13
Key Raccoon,11
East Mexican Nine-banded Armadillo,11
Florida Mouse,10
Northern Yellow Bat,10
Southern Short-tailed Shrew,9
Florida Cottontail,9
North American Least Shrew,9
Round-tailed Muskrat,7
Florida Bonneted Bat,7
North Atlantic Right Whale,5
Eastern Virginia Opossum,5
Plains Bison,5
Eastern American Red Fox,5
Common Squirrel Monkey,4
Carolina Gray Squirrel,4
Domestic Goat,4
Eastern Chipmunk,4
Key Largo Woodrat,4
Key Largo Cotton Mouse,4
Southeastern River Otter,4
Northeastern Marsh Rice Rat,4
Golden Mouse,4
Key Biscayne Raccoon,3
Atlantic Spotted Dolphin,3
Sambar,3
Southeastern Coyote,3
Eastern Raccoon,3
Sperm Whale,3
Florida Coastal White-tailed Deer,3
Eastern Red Bat,2
Donkey,2
Lower Keys Marsh Rabbit,2
Velvety Free-tailed Bat,2
Barasingha,2
Florida Flying Squirrel,2
Upland Fox Squirrel,2
Domestic Brown Rat,2
Everglades Short-tailed Shrew,2
Taurine × Indicine Cattle,2
North Atlantic Humpback Whale,1
Orca,1
Cottontail Rabbits,1
Small Cats,1
Red Wolf,1
nan,1
Dwarf Sperm Whale,1
Northern Hoary Bat,1
Old World Rats,1
Perdido Key Beach Mouse,1
Domestic Guinea Pig,1
Hairy-tailed Bats,1
Spinner Dolphin,1
Pygmy Killer Whale,1
Gulf Salt Marsh Mink,1
Big Brown Bat,1
Capybara,1
Gulf Stream Beaked Whale,1
Red-rumped Agouti,1
Pygmy Sperm Whale,1
Red Bats,1
White-nosed Coati,1
Silver-haired Bat,1
European Rabbit,1
